ID,Featured,%_of_Active_(7d)_Teams_with_App_Installed,Active_(7d)_Installed_Teams,%_of_Installed_Teams_Using_App,App_Active_(7d)_Teams,App_Active_(7d)_Teams_Last_Week,Net_Growth,%_Growth,New,%_New,Resurrected,Retained,%_Retention,Churned,%_Churn,Stale
152,no,0.11,708,59.20%,419,393,26,6.60%,19,4.80%,40,360,91.60%,33,8.40%,317
153,no,0.11,702,38.70%,272,223,49,22.00%,48,21.50%,28,196,87.90%,27,12.10%,772
154,yes,0.11,738,73.20%,540,530,10,1.90%,11,2.10%,17,512,96.60%,18,3.40%,213
155,no,0.11,726,79.50%,577,401,176,43.90%,79,19.70%,171,327,81.50%,74,18.50%,427
156,no,0.11,728,38.20%,278,259,19,7.30%,42,16.20%,39,197,76.10%,62,23.90%,213
157,yes,0.11,737,34.90%,257,244,13,5.30%,15,6.10%,47,195,79.90%,49,20.10%,237
158,no,0.1,658,35.60%,234,214,20,9.30%,22,10.30%,35,177,82.70%,37,17.30%,257
159,yes,0.1,657,103.20%,678,669,9,1.30%,36,5.40%,63,579,86.50%,90,13.50%,473
160,no,0.1,645,69.60%,449,436,13,3.00%,31,7.10%,48,370,84.90%,66,15.10%,155
161,no,0.1,671,68.70%,461,474,-13,-2.70%,10,2.10%,11,440,92.80%,34,7.20%,383
162,no,0.09,572,99.30%,568,571,-3,-0.50%,19,3.30%,16,533,93.30%,38,6.70%,147
163,no,0.09,554,37.40%,207,200,7,3.50%,17,8.50%,27,163,81.50%,37,18.50%,200
164,no,0.09,611,35.50%,217,216,1,0.50%,15,6.90%,26,176,81.50%,40,18.50%,258
165,no,0.09,568,59.90%,340,327,13,4.00%,14,4.30%,35,291,89.00%,36,11.00%,185
166,yes,0.09,578,70.60%,408,414,-6,-1.40%,10,2.40%,29,369,89.10%,45,10.90%,180
167,no,0.08,552,101.40%,560,558,2,0.40%,16,2.90%,19,525,94.10%,33,5.90%,193
168,no,0.08,525,96.80%,508,477,31,6.50%,62,13.00%,18,428,89.70%,49,10.30%,171
169,no,0.08,528,43.80%,231,222,9,4.10%,12,5.40%,37,182,82.00%,40,18.00%,162
170,no,0.08,518,101.40%,525,523,2,0.40%,33,6.30%,22,470,89.90%,53,10.10%,165
171,no,0.07,463,76.20%,353,357,-4,-1.10%,8,2.20%,6,339,95.00%,18,5.00%,136
172,no,0.07,434,66.80%,290,389,-99,-25.40%,37,9.50%,12,241,62.00%,148,38.00%,98
173,no,0.07,487,80.50%,392,401,-9,-2.20%,20,5.00%,16,356,88.80%,45,11.20%,171
174,no,0.07,478,80.80%,386,323,63,19.50%,35,10.80%,53,298,92.30%,25,7.70%,138
175,no,0.07,478,102.10%,488,460,28,6.10%,33,7.20%,8,447,97.20%,13,2.80%,80
176,yes,0.07,437,55.80%,244,237,7,3.00%,10,4.20%,23,211,89.00%,26,11.00%,144
177,no,0.07,471,112.50%,530,277,253,91.30%,313,113.00%,1,216,78.00%,61,22.00%,13
178,no,0.06,375,101.90%,382,369,13,3.50%,33,8.90%,8,341,92.40%,28,7.60%,43
179,no,0.06,405,65.90%,267,186,81,43.50%,15,8.10%,78,174,93.50%,12,6.50%,153
180,no,0.06,396,101.00%,400,383,17,4.40%,22,5.70%,17,361,94.30%,22,5.70%,92
181,no,0.05,346,102.00%,353,228,125,54.80%,125,54.80%,31,197,86.40%,31,13.60%,56
182,no,0.05,338,59.50%,201,188,13,6.90%,7,3.70%,30,164,87.20%,24,12.80%,63
183,no,0.05,342,100.60%,344,341,3,0.90%,7,2.10%,6,331,97.10%,10,2.90%,18
184,no,0.05,310,96.10%,298,309,-11,-3.60%,11,3.60%,8,279,90.30%,30,9.70%,178
185,no,0.05,306,101.60%,311,317,-6,-1.90%,9,2.80%,4,298,94.00%,19,6.00%,101
186,no,0.05,352,97.70%,344,49,295,602.00%,18,36.70%,294,32,65.30%,17,34.70%,201
187,no,0.05,325,103.70%,337,322,15,4.70%,22,6.80%,29,286,88.80%,36,11.20%,256
188,no,0.05,316,92.10%,291,258,33,12.80%,63,24.40%,17,211,81.80%,47,18.20%,159
189,no,0.05,309,90.90%,281,235,46,19.60%,35,14.90%,30,216,91.90%,19,8.10%,72
190,no,0.05,302,88.40%,267,265,2,0.80%,13,4.90%,17,237,89.40%,28,10.60%,169
191,no,0.05,307,114.30%,351,319,32,10.00%,12,3.80%,52,287,90.00%,32,10.00%,64
192,no,0.05,299,97.70%,292,296,-4,-1.40%,7,2.40%,12,273,92.20%,23,7.80%,55
193,no,0.04,259,106.60%,276,280,-4,-1.40%,10,3.60%,13,253,90.40%,27,9.60%,79
194,no,0.04,269,111.50%,300,310,-10,-3.20%,29,9.40%,8,263,84.80%,47,15.20%,411
195,no,0.04,287,96.20%,276,258,18,7.00%,24,9.30%,7,245,95.00%,13,5.00%,14
196,no,0.04,254,98.80%,251,269,-18,-6.70%,7,2.60%,22,222,82.50%,47,17.50%,132
197,no,0.04,285,101.10%,288,241,47,19.50%,7,2.90%,57,224,92.90%,17,7.10%,60
198,no,0.04,258,100.00%,258,243,15,6.20%,22,9.10%,9,227,93.40%,16,6.60%,116
199,no,0.04,235,102.60%,241,231,10,4.30%,17,7.40%,17,207,89.60%,24,10.40%,57
200,no,0.04,262,100.80%,264,249,15,6.00%,8,3.20%,37,219,88.00%,30,12.00%,120
201,no,0.04,281,98.90%,278,284,-6,-2.10%,1,0.40%,8,269,94.70%,15,5.30%,36
202,no,0.04,240,102.50%,246,241,5,2.10%,8,3.30%,10,228,94.60%,13,5.40%,62
203,no,0.04,255,99.20%,253,232,21,9.10%,39,16.80%,12,202,87.10%,30,12.90%,63
204,yes,0.04,241,106.60%,257,256,1,0.40%,16,6.30%,15,226,88.30%,30,11.70%,127
205,yes,0.04,258,102.30%,264,264,0,0.00%,20,7.60%,25,219,83.00%,45,17.00%,92
206,no,0.04,256,81.30%,208,200,8,4.00%,9,4.50%,20,179,89.50%,21,10.50%,89
207,no,0.03,207,97.10%,201,185,16,8.60%,23,12.40%,12,166,89.70%,19,10.30%,77
208,no,0.03,219,98.20%,215,215,0,0.00%,2,0.90%,7,206,95.80%,9,4.20%,86
209,no,0.03,209,99.00%,207,209,-2,-1.00%,1,0.50%,1,205,98.10%,4,1.90%,45
210,no,0.03,201,101.50%,204,18,186,1033.30%,186,1033.30%,0,18,100.00%,0,0.00%,5
211,no,0.03,222,104.50%,232,17,215,1264.70%,216,1270.60%,0,16,94.10%,1,5.90%,0
